FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Stephen Curry,Gol,G,33.17,63,34.2,395,0.916,564,0.569,801,0.421,0.655,32,5.5,5.8,1.21,0.13,3.38
Bradley Beal,Was,G,27.89,60,35.8,459,0.889,1009,0.535,373,0.349,0.593,31.3,4.7,4.4,1.15,0.37,3.12
Damian Lillard,Por,G,30.84,67,35.8,482,0.927,630,0.519,704,0.391,0.623,28.7,4.2,7.5,0.93,0.25,3.03
Joel Embiid,Phi,C-F,27.17,51,31.1,548,0.859,745,0.541,154,0.377,0.636,28.5,10.5,2.8,0.98,1.35,3.12
Giannis Antetokounmpo,Mil,F,26.44,61,33,581,0.685,879,0.636,221,0.303,0.633,28.1,11,5.9,1.18,1.21,3.39
Luka Doncic,Dal,F-G,22.21,66,34.3,471,0.73,803,0.567,548,0.35,0.587,27.7,8,8.6,0.97,0.55,4.26
Zach LaVine,Chi,G-F,26.19,58,35.1,298,0.849,646,0.571,477,0.419,0.634,27.4,5,4.9,0.79,0.47,3.5
Zion Williamson,Nor,F,20.86,61,33.2,529,0.698,1003,0.622,34,0.294,0.649,27,7.2,3.7,0.93,0.64,2.74
Kevin Durant,Bro,F,32.63,35,33.1,238,0.882,414,0.577,189,0.45,0.666,26.9,7.1,5.6,0.71,1.29,3.43
Kyrie Irving,Bro,G,29.15,54,34.9,218,0.922,708,0.561,378,0.402,0.614,26.9,4.8,6,1.41,0.69,2.39
Nikola Jokic,Den,C,26.24,72,34.6,394,0.868,1056,0.606,237,0.388,0.647,26.4,10.8,8.3,1.32,0.67,3.08
Donovan Mitchell,Uta,G,24.69,53,33.4,316,0.845,630,0.476,461,0.386,0.569,26.4,4.4,5.2,0.98,0.28,2.77
Jayson Tatum,Bos,F-G,23.21,64,35.8,340,0.868,833,0.502,485,0.386,0.576,26.4,7.4,4.3,1.17,0.48,2.67
Devin Booker,Pho,G,24.54,67,33.9,392,0.867,916,0.543,371,0.34,0.587,25.6,4.2,4.3,0.79,0.24,3.09
Trae Young,Atl,G,22.66,63,33.7,546,0.886,715,0.491,397,0.343,0.589,25.3,3.9,9.4,0.84,0.17,4.14
De'Aaron Fox,Sac,G,23.41,58,35.1,417,0.719,790,0.539,320,0.322,0.565,25.2,3.5,7.2,1.5,0.47,3
LeBron James,Lal,F,36.38,45,33.4,255,0.698,537,0.592,285,0.365,0.603,25,7.7,7.8,1.07,0.56,3.73
James Harden,Hou,G,31.72,8,36.3,60,0.883,63,0.556,72,0.347,0.613,24.8,5.1,10.4,0.88,0.75,4.25
Kawhi Leonard,Lac,F,29.88,52,34.1,295,0.885,654,0.557,254,0.398,0.622,24.8,6.5,5.2,1.56,0.4,2.02
Karl-Anthony Towns,Min,C-F,25.5,50,33.8,311,0.859,560,0.541,315,0.387,0.612,24.8,10.6,4.5,0.76,1.14,3.2
Jaylen Brown,Bos,G-F,24.56,58,34.5,250,0.764,701,0.535,410,0.398,0.586,24.7,6,3.4,1.24,0.55,2.72
James Harden,Bro,G,31.72,36,36.6,263,0.856,337,0.552,262,0.366,0.619,24.6,8.6,10.9,1.28,0.75,3.97
Nikola Vucevic,Orl,C,30.56,44,34.1,110,0.827,620,0.515,288,0.406,0.565,24.5,11.8,3.8,0.95,0.64,1.89
Collin Sexton,Cle,G,22.36,60,35.3,383,0.815,841,0.508,264,0.371,0.573,24.3,3.1,4.4,1.05,0.17,2.78
Julius Randle,Nyk,F-C,26.46,71,37.6,429,0.811,933,0.474,389,0.411,0.567,24.1,10.2,6,0.9,0.25,3.38
Brandon Ingram,Nor,F,23.7,61,34.3,320,0.878,726,0.51,375,0.381,0.584,23.8,4.9,4.9,0.69,0.59,2.51
Shai Gilgeous-Alexander,Okc,G-F,22.85,35,33.7,229,0.808,395,0.547,170,0.418,0.623,23.7,4.7,5.9,0.77,0.66,3.03
Paul George,Lac,F,31.04,54,33.7,228,0.868,537,0.51,416,0.411,0.598,23.3,6.6,5.2,1.15,0.44,3.31
CJ McCollum,Por,G,29.66,47,34,133,0.812,464,0.509,420,0.402,0.577,23.1,3.9,4.7,0.94,0.45,1.36
Jerami Grant,Det,F,27.18,54,33.9,343,0.845,603,0.473,329,0.35,0.556,22.3,4.6,2.8,0.65,1.07,2.02
Russell Westbrook,Was,G,32.51,65,36.4,413,0.656,965,0.475,273,0.315,0.509,22.2,11.5,11.7,1.35,0.35,4.8
Anthony Davis,Lal,F-C,28.18,36,32.3,214,0.738,513,0.536,100,0.26,0.556,21.8,7.9,3.1,1.25,1.64,2.06
DeMar DeRozan,San,G-F,31.78,61,33.7,440,0.88,846,0.515,74,0.257,0.591,21.6,4.2,6.9,0.92,0.25,1.95
Jimmy Butler,Mia,F,31.67,52,33.6,416,0.863,634,0.538,102,0.245,0.607,21.5,6.9,7.1,2.08,0.35,2.1
Nikola Vucevic,Chi,C,30.56,26,32.6,46,0.87,336,0.509,152,0.388,0.55,21.5,11.6,3.9,0.88,0.77,1.65
Pascal Siakam,Tor,F,27.12,56,35.8,301,0.827,715,0.509,246,0.297,0.547,21.4,7.2,4.5,1.14,0.68,2.32
Malcolm Brogdon,Ind,G,28.43,56,34.5,177,0.864,606,0.493,374,0.388,0.561,21.2,5.3,5.9,0.88,0.27,2.05
Jamal Murray,Den,G,24.23,48,35.5,153,0.869,476,0.523,316,0.408,0.592,21.2,4,4.8,1.33,0.27,2.23
Victor Oladipo,Hou,G,29.03,20,33.5,83,0.783,228,0.465,153,0.32,0.508,21.2,4.8,5,1.2,0.5,2.55
Christian Wood,Hou,F,25.64,41,32.3,198,0.631,434,0.581,206,0.374,0.591,21,9.6,1.7,0.83,1.17,1.95
Caris LeVert,Ind,G,26.73,35,32.9,146,0.822,419,0.501,195,0.318,0.535,20.7,4.6,4.9,1.51,0.69,2.17
John Wall,Hou,G,30.69,40,32.2,211,0.749,477,0.449,249,0.317,0.503,20.6,3.2,6.9,1.05,0.78,3.53
Khris Middleton,Mil,F,29.76,68,33.4,236,0.898,709,0.508,365,0.414,0.588,20.4,6,5.4,1.09,0.15,2.6
Terry Rozier,Cha,G,27.17,69,34.5,202,0.817,562,0.512,571,0.389,0.576,20.4,4.4,4.2,1.25,0.38,1.87
Domantas Sabonis,Ind,F-C,25.04,62,36,328,0.732,742,0.582,162,0.321,0.601,20.3,12,6.7,1.23,0.53,3.44
